restaurant,item,ms_item,matched_2021,new_item_2022,food_category,item_description,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,bestseller,price
arbys,classic roast beef,classic roast beef,0,1,Sandwiches,"Classic Roast Beef, Slow Roasted Beef",970,29.0,19.0,0.5,90.0,590,158.0,2.0,138.0,22.0,1,6.79
arbys,classic beef 'n cheddar,classic beef ‘n cheddar,1,0,Sandwiches,"Classic Beef ‘n Cheddar, Slow Roasted Beef",470,19.0,8.0,0.0,70.0,1230,45.0,3.0,9.0,29.0,1,7.59
arbys,greek gyro,greek gyro,1,0,Sandwiches,"Greek Gyro, Market Fresh",15,0.0,0.0,0.0,0.0,180,3.0,0.0,2.0,0.0,1,10.29
arbys,roast beef gyro,roast beef gyro,1,0,Sandwiches,Roast Beef Gyro,510,24.0,9.0,1.5,95.0,1610,38.0,2.0,5.0,38.0,0,10.29
arbys,chicken tenders 3pc,chicken tenders (3),1,0,Entrees,"Chicken Tenders (3), Crispy Juicy Chicken",240,0.0,0.0,0.0,0.0,20,64.0,0.0,60.0,0.0,1,8.04
arbys,premium 9pc chicken nuggets,premium nuggets (9),0,1,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,0,8.24
arbys,classic crispy chicken sandwich,classic chicken,0,1,Sandwiches,"Classic Chicken, Crispy Juicy Chicken",460,25.0,11.0,0.0,40.0,400,54.0,2.0,36.0,7.0,0,8.24
arbys,double roast beef,double roast beef,0,1,Sandwiches,"Double Roast Beef, Slow Roasted Beef",310,9.0,6.0,0.0,30.0,210,49.0,0.0,45.0,9.0,0,8.44
arbys,buffalo crispy chicken sandwich,buffalo chicken,0,1,Sandwiches,"Buffalo Chicken, Crispy Juicy Chicken",430,18.0,9.0,0.0,0.0,210,65.0,2.0,39.0,4.0,0,8.54
arbys,classic french dip & swiss,classic french dip & swiss/au jus,1,0,Sandwiches,"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef",450,20.0,6.0,1.0,50.0,1280,45.0,2.0,9.0,23.0,1,8.54
arbys,double beef 'n cheddar,double beef ‘n cheddar,0,1,Sandwiches,"Double Beef ‘n Cheddar, Slow Roasted Beef",540,17.0,11.0,0.0,50.0,320,86.0,1.0,76.0,12.0,0,9.14
arbys,crispy buffalo chicken wrap,buffalo chicken wrap,0,1,Sandwiches,Buffalo Chicken Wrap,10,0.0,0.0,0.0,0.0,85,3.0,0.0,2.0,0.0,0,11.49
arbys,half pound roast beef,half pound roast beef,0,1,Sandwiches,"Half Pound Roast Beef, Slow Roasted Beef",480,17.0,11.0,0.0,55.0,300,70.0,0.0,64.0,12.0,0,9.34
arbys,chicken bacon swiss sandwich,chicken bacon swiss,0,1,Sandwiches,"Chicken Bacon Swiss, Crispy Juicy Chicken",430,18.0,10.0,0.0,30.0,360,63.0,1.0,33.0,4.0,0,9.44
arbys,crispy chicken club wrap,buffalo chicken wrap,0,1,Sandwiches,Buffalo Chicken Wrap,10,0.0,0.0,0.0,0.0,85,3.0,0.0,2.0,0.0,1,11.89
