item,restaurant,price_usd
3PC Hushpuppy Breaded Fish Strips Meal,arbys,8.89
Classic Roast Beef Meal,arbys,8.99
Classic Beef 'n Cheddar Meal,arbys,9.79
Greek Gyro Meal,arbys,10.29
Roast Beef Gyro Meal,arbys,10.29
Chicken Tenders 3PC Meal,arbys,10.29
Premium 9PC Chicken Nuggets Meal,arbys,10.49
Classic Crispy Chicken Sandwich Meal,arbys,10.49
Double Roast Beef Meal,arbys,10.59
Buffalo Crispy Chicken Sandwich Meal,arbys,10.79
Classic French Dip & Swiss Meal,arbys,10.79
5PC Hushpuppy Breaded Fish Strips Meal,arbys,10.99
Double Beef 'n Cheddar Meal,arbys,11.39
Crispy Buffalo Chicken Wrap Meal,arbys,11.49
Half Pound Roast Beef Meal,arbys,11.49
Deluxe Wagyu Steakhouse Burger Meal,arbys,11.69
Chicken Bacon Swiss Sandwich Meal,arbys,11.69
Crispy Chicken Club Wrap Meal,arbys,11.89
Corned Beef Reuben Meal,arbys,11.99
Chicken Tenders 5PC Meal,arbys,12.19
Smokehouse Brisket Meal,arbys,12.29
Roast Turkey Ranch & Bacon Sandwich Meal,arbys,12.49
Half Pound Beef 'n Cheddar Meal,arbys,12.49
Bacon Ranch Wagyu Steakhouse Burger Meal,arbys,12.69
5PC Hushpuppy Breaded Fish Strips Meal,arbys,10.99
Deluxe Wagyu Steakhouse Burger Meal,arbys,11.69
Bacon Ranch Wagyu Steakhouse Burger Meal,arbys,12.69
Orange Cream Shake,arbys,3.59
3PC Hushpuppy Breaded Fish Strips ,arbys,4.69
5PC Hushpuppy Breaded Fish Strips ,arbys,6.79
2 for 7 Everyday Value,arbys,7.00
Deluxe Wagyu Steakhouse Burger,arbys,7.49
Bacon Ranch Wagyu Steakhouse Burger,arbys,8.49
3PC Hushpuppy Breaded Fish Strips Meal,arbys,8.89
Chicken Tenders 3PC,arbys,5.79
Premium 9PC Chicken Nuggets,arbys,5.99
Classic Crispy Chicken Sandwich,arbys,5.99
Buffalo Crispy Chicken Sandwich ,arbys,6.29
Chicken Bacon Swiss Sandwich,arbys,7.19
Chicken Tenders 5PC,arbys,7.69
Classic Roast Beef,arbys,4.59
Classic Beef 'n Cheddar,arbys,5.39
Double Roast Beef,arbys,6.29
Classic French Dip & Swiss,arbys,6.29
Double Beef 'n Cheddar,arbys,6.89
Half Pound Roast Beef,arbys,7.19
Smokehouse Brisket,arbys,7.79
Half Pound Beef 'n Cheddar,arbys,8.19
Buffalo Chicken Slider,arbys,1.99
Chicken Slider,arbys,1.99
Jalapeño Roast Beef Slider,arbys,1.99
Roast Beef Slider,arbys,1.99
Curly Fries,arbys,2.59
Crinkle Fries,arbys,2.59
Premium 4PC Chicken Nuggets,arbys,2.99
Premium 6PC Chicken Nuggets,arbys,3.99
Mozzarella Sticks ,arbys,4.19
Jalapeño Bites,arbys,4.19
REESE’S Peanut Butter Cup Cookie,arbys,2.29
Salted Caramel & Chocolate Cookie,arbys,2.29
Apple Turnover,arbys,2.29
Cherry Turnover,arbys,2.29
Orange Cream Shake,arbys,3.59
Chocolate Shake,arbys,3.59
Jamocha Shake,arbys,3.59
Vanilla Shake,arbys,3.59
Coca-Cola,arbys,2.49
Diet Coke,arbys,2.49
Coca-Cola Zero Sugar,arbys,2.49
Sprite,arbys,2.49
Dr Pepper,arbys,2.49
Diet Dr Pepper,arbys,2.49
Barq's Root Beer,arbys,2.49
Minute Maid Zero Sugar,arbys,2.49
Hi-C Flashin' Fruit Punch,arbys,2.49
Mello Yello,arbys,2.49
Powerade,arbys,2.49
Unsweet Tea,arbys,2.49
Fanta Orange,arbys,2.49
Bottled Water,arbys,2.49
Market Fresh Classic Lemonade,arbys,2.89
Market Fresh Strawberry Lemonade,arbys,2.89
Market Fresh Peach Lemonade,arbys,2.89
Premium 4PC Chicken Nuggets Kids Meal,arbys,5.29
Honest Kids Organic Apple Juice Drink ,arbys,1.99
Shamrock Farms Low Fat Milk,arbys,1.99
Shamrock Farms LowFat Chocolate Milk,arbys,1.99
Tree Top Applesauce,arbys,1.99
Chicken Slider Kids Meal,arbys,5.29
Roast Beef Slider Kids Meal,arbys,5.29
Premium 6PC Chicken Nuggets Kids Meal,arbys,6.29
Whopper,burger_king,4.19
Whopper – Meal,burger_king,6.49
Double Whopper,burger_king,5.29
Double Whopper – Meal,burger_king,7.59
Triple Whopper – Meal,burger_king,
Triple Whopper ,burger_king,
Whopper Jr.,burger_king,2.19
Whopper Jr. – Meal,burger_king,5.29
Impossible Whopper,burger_king,7.29
Crispy Chicken Sandwich,burger_king,4.99
Crispy Chicken Sandwich – Meal,burger_king,7.49
Spicy Crispy Chicken Sandwich – Meal,burger_king,9.19
Spicy Crispy Chicken Sandwich,burger_king,5.69
Big Fish Sandwich,burger_king,3.99
Big Fish Sandwich – Meal,burger_king,6.39
Chicken Nuggets – Meal,burger_king,5.99
Spicy Chicken Nuggets,burger_king,1.69
Chicken Fries,burger_king,6.79
Bacon Cheeseburger,burger_king,1.49
Bacon Double Cheeseburger,burger_king,2.29
Bacon Cheeseburger Deluxe,burger_king,1.69
Double Cheeseburger,burger_king,1.69
French Fries,burger_king,1.39
Onion Rings,burger_king,1.39
Fountain Drink,burger_king,1.29
Icee,burger_king,1.19
Hamburger,burger_king,1.00
Cheeseburger,burger_king,1.00
Crispy Chicken Jr.,burger_king,1.00
Spicy Crispy Chicken Jr.,burger_king,1.00
Rodeo Crispy Chicken,burger_king,1.00
Rodeo Burger,burger_king,1.00
Chicken Nuggets,burger_king,1.19
Cookies,burger_king,1.00
Soft Serve (Cup or Cone),burger_king,1.00
Apple Pie,burger_king,1.49
Hershey’s Sundae Pie,burger_king,1.69
Jalepeno Chedddar Bites,burger_king,2.29
Jalepeno Cheddar Bites,burger_king,1.09
Onion Rings,burger_king,1.79
Onion Rings,burger_king,2.19
Onion Rings,burger_king,2.39
French Fries,burger_king,1.79
French Fries,burger_king,2.19
French Fries,burger_king,2.39
Crispy Chicken Garden Salad,burger_king,7.09
Crispy Chicken Club Salad,burger_king,7.09
Garden Grilled Chicken Salad,burger_king,5.59
Side Salad (Garden),burger_king,1.99
MorningStar Veggie Burger,burger_king,3.29
MorningStar Veggie Burger – Meal,burger_king,5.49
Sundae (Caramel or Chocolate Fudge),burger_king,1.59
Soft Serve (Cone or Cup),burger_king,1.00
Cinnamon Roll ,burger_king,1.59
Cinnamon Rolls,burger_king,2.89
French Toast Sticks,burger_king,1.00
French Toast Sticks,burger_king,1.99
"Hand-Spun Shakes (Vanilla, Strawberry, or Chocolate)",burger_king,2.49
"Hand-Spun Shakes (Vanilla, Strawberry, or Chocolate)",burger_king,3.09
