,restaurant,item,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text,bestseller
0,arbys,Classic Roast Beef Meal,Classic Roast Beef,0,1,951584,Sandwiches,"Classic Roast Beef, Slow Roasted Beef",687.0,,g,,970,29.0,19.0,0.5,90.0,590,158.0,2.0,138.0,22.0,,,,,,,,,,,,,0
1,arbys,Classic Beef 'n Cheddar Meal,Classic Beef ‘n Cheddar,1,0,530,Sandwiches,"Classic Beef ‘n Cheddar, Slow Roasted Beef",221.0,,g,,470,19.0,8.0,0.0,70.0,1230,45.0,3.0,9.0,29.0,,,,,,,,,,,,,0
2,arbys,Greek Gyro Meal,Greek Gyro,1,0,179878,Sandwiches,"Greek Gyro, Market Fresh",14.0,,g,,15,0.0,0.0,0.0,0.0,180,3.0,0.0,2.0,0.0,,,,,,,,,,,,,0
3,arbys,Roast Beef Gyro Meal,Roast Beef Gyro,1,0,150132,Sandwiches,Roast Beef Gyro,239.0,,g,,510,24.0,9.0,1.5,95.0,1610,38.0,2.0,5.0,38.0,,,,,,,,,,,,,0
4,arbys,Chicken Tenders 3PC Meal,Chicken Tenders (3),1,0,10357,Entrees,"Chicken Tenders (3), Crispy Juicy Chicken",440.0,,g,,240,0.0,0.0,0.0,0.0,20,64.0,0.0,60.0,0.0,,,,,,,,,,,,,0
5,arbys,Premium 9PC Chicken Nuggets Meal,Premium Nuggets (9),0,1,951592,Entrees,"Premium Nuggets (9), Crispy Juicy Chicken",128.0,,g,,390,13.0,6.0,0.0,0.0,200,65.0,2.0,40.0,4.0,,,,,,,,,,,,,0
6,arbys,Classic Crispy Chicken Sandwich Meal,Classic Chicken,0,1,951590,Sandwiches,"Classic Chicken, Crispy Juicy Chicken",94.0,,g,,460,25.0,11.0,0.0,40.0,400,54.0,2.0,36.0,7.0,,,,,,,,,,,,,0
7,arbys,Double Roast Beef Meal,Double Roast Beef,0,1,951585,Sandwiches,"Double Roast Beef, Slow Roasted Beef",255.0,,g,,310,9.0,6.0,0.0,30.0,210,49.0,0.0,45.0,9.0,,,,,,,,,,,,,0
8,arbys,Buffalo Crispy Chicken Sandwich Meal,Buffalo Chicken,0,1,951591,Sandwiches,"Buffalo Chicken, Crispy Juicy Chicken",128.0,,g,,430,18.0,9.0,0.0,0.0,210,65.0,2.0,39.0,4.0,,,,,,,,,,,,,0
9,arbys,Classic French Dip & Swiss Meal,Classic French Dip & Swiss/Au Jus,1,0,60098,Sandwiches,"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef",195.0,,g,,450,20.0,6.0,1.0,50.0,1280,45.0,2.0,9.0,23.0,,,,,,,,,,,,,0
