,restaurant_x,item,price,ms_index,ms_item,matched_2021,new_item_2022,menu_item_id,food_category,restaurant_y,item_name,item_description,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium,notes,calories_text,total_fat_text,saturated_fat_text,trans_fat_text,cholesterol_text,sodium_text,carbohydrates_text,dietary_fiber_text,sugar_text,protein_text
0,arbys,Classic Roast Beef Meal,8.99,386,Classic Roast Beef,0,1,951584,Sandwiches,arbys,Classic Roast Beef,"Classic Roast Beef, Slow Roasted Beef",687,,g,,970,29.0,19,0.5,90,590,158,2,138,22,,,,,,,,,,,,
1,arbys,Classic Beef 'n Cheddar Meal,9.79,338,Classic Beef ‘n Cheddar,1,0,530,Sandwiches,arbys,Classic Beef ‘n Cheddar,"Classic Beef ‘n Cheddar, Slow Roasted Beef",221,,g,,470,19.0,8,0,70,1230,45,3,9,29,,,,,,,,,,,,
2,arbys,Greek Gyro Meal,10.29,357,Greek Gyro,1,0,179878,Sandwiches,arbys,Greek Gyro,"Greek Gyro, Market Fresh",14,,g,,15,0.0,0,0,0,180,3,0,2,0,,,,,,,,,,,,
3,arbys,Roast Beef Gyro Meal,10.29,355,Roast Beef Gyro,1,0,150132,Sandwiches,arbys,Roast Beef Gyro,Roast Beef Gyro,239,,g,,510,24.0,9,1.5,95,1610,38,2,5,38,,,,,,,,,,,,
4,arbys,Chicken Tenders 3PC Meal,10.29,343,Chicken Tenders (3),1,0,10357,Entrees,arbys,Chicken Tenders (3),"Chicken Tenders (3), Crispy Juicy Chicken",440,,g,,240,0.0,0,0,0,20,64,0,60,0,,,,,,,,,,,,
5,arbys,Premium 9PC Chicken Nuggets Meal,10.49,394,Premium Nuggets (9),0,1,951592,Entrees,arbys,Premium Nuggets (9),"Premium Nuggets (9), Crispy Juicy Chicken",128,,g,,390,13.0,6,0,0,200,65,2,40,4,,,,,,,,,,,,
6,arbys,Classic Crispy Chicken Sandwich Meal,10.49,392,Classic Chicken,0,1,951590,Sandwiches,arbys,Classic Chicken,"Classic Chicken, Crispy Juicy Chicken",94,,g,,460,25.0,11,0,40,400,54,2,36,7,,,,,,,,,,,,
7,arbys,Double Roast Beef Meal,10.59,387,Double Roast Beef,0,1,951585,Sandwiches,arbys,Double Roast Beef,"Double Roast Beef, Slow Roasted Beef",255,,g,,310,9.0,6,0,30,210,49,0,45,9,,,,,,,,,,,,
8,arbys,Buffalo Crispy Chicken Sandwich Meal,10.79,393,Buffalo Chicken,0,1,951591,Sandwiches,arbys,Buffalo Chicken,"Buffalo Chicken, Crispy Juicy Chicken",128,,g,,430,18.0,9,0,0,210,65,2,39,4,,,,,,,,,,,,
9,arbys,Classic French Dip & Swiss Meal,10.79,351,Classic French Dip & Swiss/Au Jus,1,0,60098,Sandwiches,arbys,Classic French Dip & Swiss/Au Jus,"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef",195,,g,,450,20.0,6,1,50,1280,45,2,9,23,,,,,,,,,,,,
