item,restaurant,price_usd
Maverick,&pizza,10.25
American Honey,&pizza,10.25
White,&pizza,10.25
New G,&pizza,10.25
Dirty Bird,&pizza,10.25
Buffalo 66,&pizza,10.25
Craft Your Own Pizza,&pizza,10.25
Lacroix,&pizza,2.50
Horizon Milk,&pizza,2.50
&Water,&pizza,3.53
Ginger Berry Lemonade,&pizza,2.59
Water ,&pizza,2.59
Dark Cherry Cola,&pizza,2.59
Bone-In Buffalo Wings,99 Restaurant,12.19
Boneless Wings (Buffalo or Gold Fever),99 Restaurant,10.69
Boneless Wings & Skins Sampler,99 Restaurant,13.09
Mozzarella Moons,99 Restaurant,7.59
Outrageous Potato Skins,99 Restaurant,9.89
Chicken Fajita Flatbread,99 Restaurant,8.89
XL Boneless Wings (Buffalo or Gold Fever),99 Restaurant,12.89
XL Bone-In Buffalo Wings,99 Restaurant,17.59
Bone-In Wings & Skins Sampler,99 Restaurant,12.89
Sundried Tomato Chicken Kabob Salad,99 Restaurant,12.09
Sirloin Tip Heart of Caesar Wedge,99 Restaurant,13.99
Crispy Honey Mustard Chicken Salad,99 Restaurant,11.69
House Salad,99 Restaurant,4.59
Heart of Caesar Wedge,99 Restaurant,6.19
Double Bleu Iceberg Wedge,99 Restaurant,6.49
Soup & House Salad,99 Restaurant,10.09
Soup & Heart of Caesar Wedge,99 Restaurant,11.69
Soup & Double Bleu Iceberg Wedge,99 Restaurant,11.99
French Onion Soup – Crock,99 Restaurant,5.99
French Onion Soup – Cup,99 Restaurant,4.89
Seafood Chowder – Crock,99 Restaurant,5.99
Seafood Chowder – Cup,99 Restaurant,4.89
Soup of the Day – Crock,99 Restaurant,5.99
Soup of the Day – Cup,99 Restaurant,4.89
All Star Burger,99 Restaurant,12.89
Vermont Cheddar Burger,99 Restaurant,12.39
Cheese Burger,99 Restaurant,11.29
Fit For You Vegetarian Black Bean Burger,99 Restaurant,10.29
Bacon & Cheese Burger,99 Restaurant,11.69
Crispy Fish BLT,99 Restaurant,11.19
Open-Face Pub Steak Sandwich,99 Restaurant,13.39
Honey BBQ Chicken Wrap,99 Restaurant,11.39
Triple-Decker Turkey Club,99 Restaurant,10.79
Apple BBQ Chicken Sandwich,99 Restaurant,11.19
Plain Burger,99 Restaurant,11.29
Pastrami Stack,99 Restaurant,13.39
Garlic Parmesan Chicken Mac & Cheese,99 Restaurant,9.99
Country Fried Chicken,99 Restaurant,9.99
Twin Catch,99 Restaurant,9.99
Sundried Tomato Chicken Kabobs,99 Restaurant,9.99
Braised Short Rib Tacos,99 Restaurant,9.99
New England Fried Shrimp,99 Restaurant,9.99
Chopped Grilled Angus,99 Restaurant,9.99
Southwest Fajita Chicken Bowl,99 Restaurant,9.99
Southwest Fajita Steak Bowl,99 Restaurant,12.39
Southwest Fajita Shrimp Bowl,99 Restaurant,11.39
Ranch Crusted Chicken,99 Restaurant,9.99
Royal Sirloin,99 Restaurant,18.09
T-Bone Steak,99 Restaurant,20.59
Top Sirloin Steak,99 Restaurant,12.99
Prime Rib,99 Restaurant,19.09
Prime Rib,99 Restaurant,23.19
Stacked Apple BBQ Ribs,99 Restaurant,18.59
Fit For You Mushroom Sirloin,99 Restaurant,14.29
Broiled Sirloin Tips,99 Restaurant,16.49
Smothered Tips,99 Restaurant,17.59
King Size Broiled Sirloin Tips,99 Restaurant,22.49
King Size Smothered Tips,99 Restaurant,23.49
Baked Schrod,99 Restaurant,14.79
Fresh Balsamic Salmon,99 Restaurant,17.39
Crispy Fish Tacos,99 Restaurant,11.39
Fit For You Fresh Salmon,99 Restaurant,15.29
New England Fish Fry,99 Restaurant,13.19
Fit For You Fresh Balsamic Salmon,99 Restaurant,15.29
Sirloin & Fried Shrimp Combo,99 Restaurant,16.99
Baked Coastal Combo,99 Restaurant,19.59
Sirloin & Fresh Scallop Combo,99 Restaurant,18.89
Sirloin Tips & Chicken Tenders,99 Restaurant,14.49
Hot Buttered Colossal Lobster Roll,99 Restaurant,21.19
Original Crispy Chicken Tenders,99 Restaurant,12.09
Balsamic Grilled Chicken,99 Restaurant,10.99
Chicken Parmigiana,99 Restaurant,11.39
Maine Russet Mashed Potatoes,99 Restaurant,3.39
Rice,99 Restaurant,3.39
French Fries,99 Restaurant,3.39
Baked Potato,99 Restaurant,3.39
Coleslaw,99 Restaurant,3.39
In-Season Vegetable,99 Restaurant,3.39
Smoked Gouda and Bacon Mac & Cheese,99 Restaurant,4.79
Loaded Mashed Potatoes,99 Restaurant,4.79
Loaded Baked Potato,99 Restaurant,4.79
Chicken Tenders,99 Restaurant,6.19
Grilled Cheese,99 Restaurant,4.59
Junior Burger with Cheese,99 Restaurant,6.49
Jumbo Hot Dog,99 Restaurant,5.69
Macaroni & Cheese,99 Restaurant,5.69
Junior Sliced Ranch Steak,99 Restaurant,7.29
Pasta with Classic Tomato Sauce,99 Restaurant,4.89
Pasta with Butter,99 Restaurant,4.89
Little Midnight Fudge Hero Sundae,99 Restaurant,1.99
Honey BBQ Chicken Wrap,99 Restaurant,11.39
Crispy Honey Mustard Chicken Salad,99 Restaurant,11.69
The Classic,99 Restaurant,8.59
Twin Catch,99 Restaurant,9.99
Apple BBQ Chicken Sandwich,99 Restaurant,11.19
Crispy Fish BLT,99 Restaurant,11.19
Soup & House Salad,99 Restaurant,10.09
Broiled Sirloin Tips,99 Restaurant,11.29
The Classic with Bacon,99 Restaurant,10.19
Soup & Heart of Caesar Wedge,99 Restaurant,11.69
Open-Face Pub Steak Sandwich,99 Restaurant,13.39
Smothered Sirloin Tips,99 Restaurant,12.29
Pastrami Stack,99 Restaurant,13.39
Chicken Fajita Flatbread,99 Restaurant,8.89
Crispy Fish Tacos,99 Restaurant,11.39
Braised Short Rib Tacos,99 Restaurant,9.99
Towering Midnight Fudge Cake,99 Restaurant,6.69
Baked Chocolate Chip Cookie Skillet,99 Restaurant,6.19
Apple Caramel Streusel Pie,99 Restaurant,5.99
Hot Fudge Sundae,99 Restaurant,6.19
Mocha Bite Petite Treat,99 Restaurant,2.59
Peanut Butter Petite Treat,99 Restaurant,2.59
