restaurant,popular_item,bestseller
McDonald's,French Fries,1
McDonald's,Chicken McNuggets,1
McDonald's,Big Mac,1
McDonald's,Egg McMuffin,1
McDonald's,Filet-O-Fish,1
McDonald's,Quarter Pounder with Cheese,1
McDonald's,McChicken,1
McDonald's,Cheeseburger,1
McDonald's,Hamburger,1
McDonald's,Premium Asian Salad,1
McDonald's,Hash Brown,1
McDonald's,Iced Coffee,1
McDonald's,Vanilla Ice Cream Cone,1
McDonald's,Double Cheeseburger,1
McDonald's,Double Quarter Pounder with Cheese,1
Wendy's,Chicken Nuggets,1
Wendy's,French Fries,1
Wendy's,Chili,1
Wendy's,Chocolate Frosty,1
Wendy's,Grilled Chicken Ranch Wrap,1
Wendy's,Apple Pecan Chicken Salad,1
Wendy's,Baconator,1
Wendy's,Jr. Bacon Cheeseburger (JBC),1
Wendy's,Grilled Chicken Sandwich,1
Wendy's,Cobb Salad,1
Wendy's,Dave's Single Cheeseburger,1
Wendy's,Classic Chicken Sandwich,1
Wendy's,Crispy Chicken Sandwich,1
Wendy's,Dave's Double Cheeseburger,1
Wendy's,Spicy Chicken Nuggets,1
Chick-fil-A,Chicken Nuggets,1
Chick-fil-A,Waffle Fries,1
Chick-fil-A,Chicken Sandwich,1
Chick-fil-A,Grilled Chicken Nuggets,1
Chick-fil-A,Grilled Chicken Sandwich,1
Chick-fil-A,Chick-n-Strips,1
Chick-fil-A,Cobb Salad,1
Chick-fil-A,Chicken Deluxe Sandwich,1
Chick-fil-A,Grilled Chicken Cool Wrap,1
Chick-fil-A,Mac & Cheese,1
Chick-fil-A,Spicy Chicken Sandwich,1
Chick-fil-A,Lemonade,1
Chick-fil-A,Fruit Cup,1
Chick-fil-A,Market Salad,1
Chick-fil-A,Spicy Deluxe,1
Burger King,Whopper,1
Burger King,French Fries,1
Burger King,Whopper Jr,1
Burger King,Strawberry Banana Smoothie,1
Burger King,Strawberry Milk Shake,1
Burger King,Impossible Whopper,1
Burger King,Double Whopper,1
Burger King,Chicken Nuggets,1
Burger King,Cheeseburger,1
Burger King,Bacon & Cheese Whopper,1
Burger King,Original Chicken Sandwich,1
Burger King,Bacon King,1
